acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
180,114,-122,-26,10,-90,-40,206,21,263,78
-214,-271,1458,-82,-15,8,-296,-30,-87,263,128
-60,64,-8,0,5,24,80,-26,-51,263,-141
66,-199,-104,-61,-36,-10,-281,-77,-69,263,-91
-33,41,-155,-105,-42,-67,-397,23,-192,263,-41
-165,-37,-182,-112,19,-97,-601,223,-330,263,8
-205,-29,-241,-27,42,10,-594,512,-209,263,58
-210,10,-141,93,316,256,-190,246,160,263,108
-215,11,-87,36,99,200,97,-213,414,263,158
-187,-79,-103,-95,-27,-38,150,-601,501,263,-111
-123,-360,-87,-272,-20,-294,97,-646,285,263,-61
-79,-321,-28,-295,-19,-289,6,402,-54,263,-11
-195,-314,157,-158,-42,-305,420,454,-279,263,38
-189,-195,-211,20,-60,-145,264,208,-273,263,88
-57,-20,300,-13,-105,178,153,152,-80,263,138
190,622,929,410,-899,955,546,31,-38,263,-132
389,2055,1273,425,-2026,571,933,-148,-179,263,-82
-106,2338,746,242,-2348,455,-483,141,26,263,-32
349,1261,-297,889,-954,-257,388,-201,1,263,17
1240,-1027,-871,1270,858,-683,10,122,187,263,67
2352,-977,-532,2109,1441,-518,585,-241,-82,263,117
3477,595,25,2736,564,-385,155,-255,-160,263,-152
3877,1241,119,2362,528,-1209,110,-42,88,263,-102
2999,-81,-33,1976,151,-2064,-324,518,516,263,-52
2532,-1010,102,1497,10,-3903,-165,175,917,263,-2
1717,-1872,300,1754,-474,-3713,-130,-322,766,263,47
1608,-2795,813,1614,-279,-3183,-21,-289,436,263,97
1865,-2499,1040,1466,375,-2644,23,130,98,263,147
1919,-2039,570,2114,-524,-3207,72,174,-491,263,-122
1928,-1588,141,2418,-1165,-2917,114,17,-831,263,-72
2202,-274,-1261,2217,-1027,-1928,-45,-298,-996,263,-22
2158,352,-2449,2270,-362,-855,23,-408,-1033,263,27
1803,555,-3217,2585,90,-447,110,-148,-796,263,77
1179,88,-3591,2212,1460,-360,-126,321,-512,263,127
1379,28,-3016,1984,2123,501,-85,272,-348,263,-142
1456,52,-2768,1944,2524,1433,-20,-47,-302,263,-92
1263,-226,-2873,2117,2141,1010,22,-268,-236,263,-42
1227,-425,-2858,2215,1942,916,70,-89,42,263,7
1641,649,-3074,1788,2249,1122,27,55,209,263,57
1678,936,-2961,2218,1200,105,-16,127,475,263,107
1844,925,-2589,2749,513,-940,-72,140,584,263,157
1939,814,-1975,2786,69,-1588,-84,-123,585,263,-113
2131,-249,-1102,3372,-959,-1986,102,-126,321,263,-63
2668,341,-275,3211,-880,-1559,28,-155,96,263,-13
2895,834,-400,2850,-122,-1251,-32,205,-55,263,36
2722,651,-459,2659,199,-1153,-17,233,-140,263,86
1806,-251,-417,2170,350,-845,69,254,-83,263,136
1109,-156,-491,1252,334,-710,-157,-7,-110,263,-133
118,596,-294,467,-451,-455,-254,12,-107,263,-83
-705,1602,-220,-105,-1453,-83,-533,-111,-57,263,-33
-729,1739,-187,-524,-1374,338,-509,-317,-134,263,16
272,1319,367,702,-1936,561,-1279,149,168,263,66
-14,233,-288,244,-552,-694,-559,-150,-39,263,116
-372,-303,-562,-604,677,-102,499,104,-60,263,-153
11,168,-38,43,-25,329,396,-34,-20,263,-103
-232,1320,253,89,-1369,367,558,131,-70,263,-53
-447,1493,-115,-172,-1692,-96,1389,-150,-209,263,-3
-198,1478,-335,104,-1444,66,-447,252,160,263,46
557,1142,-280,1017,-1101,-295,540,-158,-36,263,96
1133,230,-355,1267,-103,-658,95,209,26,263,146
2078,-467,-436,2054,1030,-214,294,78,-128,263,-124
2775,749,-476,2624,451,-237,98,-203,-179,263,-74
2947,982,-476,2787,97,-587,-73,-110,13,263,-24
2945,1017,-436,2637,-63,-1086,-206,77,239,263,25
2948,776,-79,2532,-183,-1833,-192,193,540,263,75
2879,341,148,2109,-28,-2379,-99,15,652,263,125
2804,-206,254,1764,266,-2829,84,-52,708,263,-144
2341,-870,110,1602,240,-3148,145,-217,735,263,-94
2112,-1779,236,1607,206,-3259,136,-155,393,263,-44
2142,-2372,1386,1628,548,-2636,-17,59,124,263,5
2107,-2045,1063,1709,449,-2726,-97,294,-86,263,55
2099,-1933,736,1963,-146,-2964,-148,209,-365,263,105
2220,-1387,281,2270,-556,-2738,-95,-70,-727,263,155
2356,-210,-466,2559,-918,-1851,-50,-244,-1018,263,-114
2190,543,-2346,2631,-496,-891,-64,-346,-1151,263,-64
1789,708,-3007,2475,222,-240,-75,-261,-1058,263,-14
1366,267,-3376,2334,996,17,-107,143,-884,263,35
1215,-52,-3377,2153,1497,399,-194,495,-796,263,85
1545,449,-2622,1563,2456,1306,-205,360,-620,263,135
1336,-126,-2735,1814,2156,1135,-12,-11,-273,263,-135
1607,418,-2836,1921,1857,1130,174,-210,135,263,-85
1684,1245,-2947,2135,1445,609,169,-45,554,263,-35
1842,1307,-2437,2533,523,-286,-23,-62,866,263,14
2179,572,-1262,2655,-194,-1515,-42,-255,852,263,64
2271,-256,-747,2722,-390,-2273,-21,-147,808,263,114
2401,-513,-369,2640,-774,-2121,96,-84,466,263,-155
2254,-331,-176,2239,-78,-1336,-29,60,33,263,-105
1553,141,-261,1684,73,-780,-262,19,-133,263,-55
933,756,-122,1060,-607,-465,-186,-17,-148,263,-5
74,1350,96,398,-1172,-304,-226,-148,-104,263,44
-570,1432,48,-222,-1379,42,-317,-59,-84,263,94
-582,1325,-9,-466,-986,-76,-475,-291,-107,263,144
679,1459,286,704,-1392,333,-609,155,165,263,-125
20,310,-189,153,-533,-400,439,-192,-99,263,-75
-228,1001,-24,84,-925,257,316,179,-107,263,-25
-280,1798,188,-170,-1381,151,598,-41,-63,263,24
-258,1846,-265,265,-1461,32,-105,-195,80,263,74
360,972,-496,637,-822,-418,141,-49,111,263,124
1099,-462,-746,1028,224,-709,-96,192,196,263,-146
1931,-654,-407,1557,583,-632,313,318,-62,263,-96
2775,301,-62,2290,-116,-903,-95,248,-50,263,-46
3087,870,220,2081,-170,-1838,-177,221,108,263,3
2925,615,546,1761,136,-2403,-228,264,458,263,53
2728,-75,534,1400,233,-2813,-97,159,718,263,103
2458,-968,123,1100,555,-3205,95,-292,782,263,153
1920,-2304,242,1255,252,-2852,228,-339,661,263,-116
1847,-3088,603,1375,125,-2728,-98,-418,528,263,-66
1929,-2414,469,1216,123,-3214,65,-1,-19,263,-16
2094,-1824,447,1287,-141,-3485,203,289,-857,263,33
2143,-952,249,1548,-965,-2878,-142,94,-1070,263,83
2552,984,-1263,1993,-1103,-1568,-319,-307,-1137,263,133
1897,507,-2235,2438,-653,-870,108,-358,-1149,263,-136
1266,281,-3154,2222,352,-568,284,-249,-1140,263,-86
850,195,-3706,2233,1138,-546,-32,470,-1045,263,-36
1293,925,-2842,1734,2210,1278,-134,828,-733,263,13
1172,305,-2768,1802,2325,1471,-124,395,-438,263,63
1082,-74,-2757,1977,1812,1069,43,-60,-41,263,113
1266,510,-2859,2200,1555,968,83,-133,664,263,-157
1351,777,-2774,2540,921,437,48,-168,875,263,-107
1847,1452,-2100,2756,194,-641,-52,-256,900,263,-57
2126,1037,-1451,2735,-102,-1326,-58,-249,858,263,-7
2129,303,-1086,2736,-271,-2120,66,-378,751,263,42
2213,-593,-600,2894,-799,-2557,336,-356,247,263,92
2838,204,-155,2531,-175,-1650,216,-46,-55,263,142
2513,251,-335,2234,220,-1104,54,60,-210,263,-127
1864,-228,-471,1718,367,-595,-335,198,-194,263,-77
1265,154,-329,1217,-224,-539,-342,-210,-301,263,-27
403,974,-115,650,-1067,-264,-226,-12,-41,263,22
-763,1589,121,-447,-1163,-138,-397,125,-35,263,72
-856,1263,227,-623,-1201,-99,-694,130,-15,263,122
-303,809,239,77,-1137,208,-753,57,89,263,-147
237,377,-21,557,-811,45,-80,274,95,263,-97
67,253,-133,-41,-348,170,636,148,-19,263,-47
-522,1323,619,-35,-1731,860,751,-77,-23,263,2
-1167,2004,607,-642,-1962,634,944,-663,-235,263,52
-973,1616,198,-417,-1451,144,-7,-326,115,263,102
-126,232,-371,455,-296,-334,71,-36,53,263,152
1526,-1030,-495,1473,1330,-450,218,305,7,263,-117
2762,602,-164,2264,650,-213,227,213,-91,263,-67
3251,1641,15,2604,127,-1063,46,88,143,263,-17
2948,1128,102,2493,-129,-1898,-139,203,787,263,32
2735,26,143,1630,20,-2819,13,-1,1036,263,82
2395,-900,19,1345,183,-2993,104,-276,1061,263,132
2160,-2016,510,1465,-411,-2961,186,-274,669,263,-138
2236,-2353,858,1609,-455,-2843,-42,-10,55,263,-88
2270,-1900,773,1603,-541,-3009,-174,136,-391,263,-38
2289,-903,-55,1836,-857,-2801,-73,-55,-929,263,11
2221,203,-1163,2343,-1247,-2128,-5,-225,-1131,263,61
1958,701,-2152,2242,-881,-1486,-101,-561,-1277,263,111
1410,751,-3284,2219,87,-1097,-20,-238,-1041,263,-158
919,718,-3630,2223,1154,-478,28,477,-694,263,-108
1466,1375,-2448,1809,2390,1165,-52,718,-427,263,-58
1350,797,-2235,2055,2383,1510,-163,316,-286,263,-8
1203,595,-2421,2275,1700,898,80,-167,88,263,41
1270,1150,-2624,2224,1447,491,117,-118,449,263,91
1506,1646,-2341,2475,431,-696,75,-111,626,263,141
1762,1227,-1784,2753,-210,-1522,-92,27,711,263,-128
1910,-8,-1224,3031,-1165,-1940,-42,-42,535,263,-78
2317,-527,-609,2966,-1143,-1714,114,-81,252,263,-28
2561,-66,-280,2313,96,-1010,101,5,22,263,21
1847,-323,-552,1864,447,-778,27,102,-51,263,71
1283,108,-336,1340,162,-610,-134,48,-95,263,121
501,916,-3,759,-560,-580,-264,-79,-109,263,-149
-380,1566,312,104,-1331,6,-474,16,0,263,-99
-475,1130,255,-436,-1023,333,-434,-173,-8,263,-49
-93,1269,438,212,-1395,705,-300,-405,-39,263,0
185,385,-68,438,-761,-79,-285,65,59,263,50
-132,-108,-74,103,-487,-423,503,117,-105,263,100
-203,562,472,88,-1292,600,574,-8,-101,263,150
-680,1882,586,-227,-1796,501,1026,-270,-137,263,-119
-541,1571,-31,-163,-1729,159,-20,50,138,263,-69
389,1008,-188,640,-1268,-385,218,73,123,263,-19
1237,84,-517,980,199,-612,70,81,22,263,30
1795,-674,-558,1901,1529,-439,152,262,-59,263,80
2881,35,-313,2918,474,-232,324,163,-92,263,130
3166,722,-243,3166,-42,-366,-61,-172,-20,263,-139
3241,1015,-231,2242,543,-822,-61,-256,18,263,-89
3361,957,-14,1967,713,-1508,-191,283,550,263,-39
3072,-173,79,1197,-2,-3487,-208,433,841,263,10
2433,-853,-165,540,124,-4012,-315,155,989,263,60
1847,-2081,391,1084,-530,-3378,-24,-464,511,263,110
1967,-3193,1172,1222,-472,-2859,-55,-78,171,263,160
1888,-2419,802,1184,-501,-3003,-103,294,-190,263,-110
1887,-1408,-333,1256,-1029,-3103,28,203,-857,263,-60
2141,397,-1182,1714,-1271,-2271,70,-307,-1284,263,-10
1923,825,-2204,2220,-1002,-1091,96,-522,-1322,263,39
1162,771,-3151,2347,-250,-180,58,-544,-1112,263,89
185,310,-3711,2240,996,-343,-187,9,-939,263,139
516,1035,-3045,1574,1872,-566,-235,414,-786,263,-130
1362,1661,-1879,1193,3401,1126,-143,709,-303,263,-80
994,1244,-2405,1579,2908,1458,-14,-56,35,263,-30
1008,1921,-2783,2300,1049,97,133,-218,488,263,19
1062,2052,-1605,2623,317,-700,98,-29,795,263,69
1323,978,-1459,2649,-143,-1785,-55,105,979,263,119
1828,-282,-1381,2636,-510,-2307,376,-74,843,263,-150
2306,-564,-366,3106,-1393,-1940,252,-203,424,263,-100
1865,-204,-344,2006,338,-836,54,-231,-31,263,-50
1378,-83,-624,1393,625,-762,-85,-114,-292,263,0
650,357,-576,726,247,-594,-426,-113,-281,263,49
-917,1678,-122,-627,-1083,-205,-531,-150,-41,263,99
-1647,2114,193,-1542,-1915,941,-1015,-330,32,263,149
26,1622,618,825,-2131,1408,-1222,-151,378,263,-121
575,958,529,720,-582,756,-8,538,191,263,-71
-338,1332,852,-227,-1491,1454,1310,295,33,263,-21
-1566,2563,1141,-1497,-2307,1228,1084,-403,-226,263,28
-1170,730,-394,-742,-614,-292,-62,-416,19,263,78
413,-928,-773,485,915,-540,377,40,61,263,128
2074,-505,-332,1226,1386,-382,382,150,361,263,-141
3378,1735,544,1319,1175,-1222,463,704,605,263,-91
2973,1574,589,313,328,-2918,58,1056,938,263,-41
2116,-475,-151,-1128,194,-3741,37,581,1126,263,8
1778,-1750,-653,-570,-792,-3737,361,-257,683,263,58
1816,-3621,46,588,-1471,-2530,148,-1155,430,263,108
2154,-3337,338,352,-610,-1906,-78,-532,12,263,158
2413,-1477,-189,297,-852,-2310,-761,-61,-549,263,-111
2450,-1088,-491,756,-1647,-1947,-804,-227,-1238,263,-61
2178,-356,-1189,1066,-1992,-1318,-277,-166,-1604,263,-11
1318,649,-1961,1408,-1763,-532,17,-159,-1178,263,38
134,1039,-2871,1823,-356,-345,-229,-165,-927,263,88
-1118,727,-3613,2044,565,-826,-320,-15,-932,263,138
-216,1908,-2801,1383,1636,-1018,-221,522,-726,263,-132
696,2088,-1810,1247,3844,392,-156,1058,-259,263,-82
292,1002,-1696,1860,2983,856,67,1,70,263,-32
212,511,-1897,2535,1201,-18,278,-558,406,263,17
620,824,-1380,2345,581,-539,119,-538,616,263,67
889,876,-929,2044,-6,-908,-219,-220,611,263,117
996,573,-748,1610,-449,-1123,-167,-30,478,263,-152
689,91,-604,229,-1318,-382,-296,36,365,263,-102
-239,105,-410,-865,-1441,273,-286,-77,330,263,-52
-753,777,-280,-953,-1507,534,-635,123,345,263,-2
-717,570,-69,1009,-2340,619,-720,837,151,263,47
509,714,1054,-178,-38,-824,-198,-213,-124,263,97
-290,-4,-602,-454,2,-431,469,68,-288,263,147
-125,169,-170,48,-184,-185,536,51,-141,263,-122
55,1637,839,439,-1599,923,587,-166,-30,263,-72
-445,2050,608,129,-2115,630,1176,-705,-244,263,-22
-487,2109,385,-108,-1343,-583,-105,-237,202,263,27
504,-612,-436,424,585,-667,489,-113,38,263,77
2192,-76,-277,1190,1555,-744,682,410,319,263,127
2942,1176,-131,1643,1197,-1338,406,875,663,263,-143
2605,340,-119,1304,121,-2616,84,855,822,263,-93
2680,-402,147,361,-317,-3259,37,340,943,263,-43
2058,-2467,227,738,-1087,-3023,288,-689,667,263,6
2089,-3302,265,960,-1582,-3137,-396,-834,218,263,56
2246,-2222,371,700,-1201,-3188,-751,-245,-287,263,106
2406,-1000,-132,793,-1567,-2756,-606,25,-1090,263,156
2229,2,-1222,1137,-1552,-1936,-138,-152,-1526,263,-113
1310,381,-2342,1654,-832,-1332,121,-297,-1419,263,-63
193,598,-3642,2300,-36,-1047,196,-407,-1196,263,-13
-488,576,-3716,2476,616,-1009,162,24,-1100,263,36
-110,1085,-2958,1400,2967,81,-251,591,-887,263,86
924,2128,-2372,1229,3848,1132,-333,397,-201,263,136
221,1258,-2947,1799,2309,567,106,-266,490,263,-133
