acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
-7,9,19,6,5,27,62,-12,-60,263,78
-26,-26,12,-13,26,-34,26,-50,-10,263,128
-8,-25,-22,-32,15,-21,8,-51,11,263,-141
-3,17,-3,-6,1,-2,9,-9,10,263,-91
0,14,0,-14,7,-7,19,11,14,263,-41
-13,-2,15,-13,0,6,12,13,13,263,8
-1,-23,26,-2,-4,25,144,-20,-7,263,58
-3,-12,19,2,-14,16,191,-33,-16,263,108
4,-6,3,-8,6,-7,157,-29,-17,263,158
-9,-5,-4,-14,6,-16,96,-41,-33,263,-111
0,-17,10,-6,14,9,6,-22,-26,263,-61
-3,-15,16,0,16,18,-18,-14,-26,263,-11
-13,10,80,21,3,23,39,6,-5,263,38
54,-43,-41,-47,-3,-43,65,22,9,263,88
6,-8,4,37,22,73,-17,-88,-118,263,138
-1,17,78,6,7,62,-137,0,-71,263,-132
-34,11,17,-26,2,-25,-84,-15,-37,263,-82
-3,14,-2,-6,19,-22,-19,-28,-19,263,-32
-22,-3,-27,-18,18,-6,-66,-26,11,263,17
103,-48,-20,-60,1,68,-121,-244,-77,263,67
230,-30,-67,45,89,109,-390,-42,-496,263,117
-464,290,44,-178,-22,176,-1133,169,-386,263,-152
90,128,-103,236,199,-84,-943,117,124,263,-102
-133,80,-19,122,48,87,-793,-262,277,263,-52
-411,-36,-102,52,-23,195,53,-154,609,263,-2
-462,-118,-290,-449,-347,345,866,-703,568,263,47
-383,-214,-284,-565,-181,130,712,-812,49,263,97
18,-447,-304,-107,189,-319,528,-421,-124,263,147
79,-475,-198,34,280,-423,342,618,-126,263,-122
-76,-409,-141,16,210,-345,70,427,-276,263,-72
-516,-369,-267,-314,-38,-36,-71,514,-301,263,-22
-1055,-391,-508,-587,-333,329,-101,12,-169,263,27
-328,-795,-833,23,115,60,-19,-209,-189,263,77
-336,-598,-583,-169,114,-97,229,-5,-142,263,127
-753,-104,-115,-563,-52,26,207,-141,-1,263,-142
-416,-56,-43,-240,92,-70,-84,-546,338,263,-92
-275,-24,101,-120,141,-154,-156,-772,207,263,-42
500,-354,-179,181,40,63,513,-304,210,263,7
284,-53,-4,-168,-134,114,312,522,272,263,57
105,-45,85,65,-104,-162,137,569,-15,263,107
273,46,-38,-1,24,-173,-495,149,-80,263,157
53,560,67,-292,-112,179,-1261,-475,30,263,-113
495,627,192,26,66,382,-672,122,-11,263,-63
