acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
-16,-13,-4,-11,30,22,12,-23,-20,263,78
-15,-8,-39,-10,20,5,19,-7,-15,263,128
-24,-20,-31,-10,21,0,9,0,-16,263,-141
-18,-27,-5,-11,23,26,13,3,-15,263,-91
-13,0,23,-5,21,49,33,2,-18,263,-41
38,162,138,-3,29,24,41,-30,-28,263,8
225,465,-190,1,22,5,5,-124,-31,263,58
207,269,-265,-13,11,42,21,-28,-22,263,108
208,98,-168,-18,45,28,48,181,-15,263,158
159,237,-15,-18,60,27,-3,275,-30,263,-111
152,334,6,15,47,30,-59,163,-18,263,-61
108,307,-55,36,-26,62,-19,-107,-10,263,-11
76,209,-70,25,-30,40,-3,-168,-11,263,38
47,109,-34,-1,-5,23,1,-135,-15,263,88
28,52,15,-22,28,12,15,-71,-33,263,138
22,20,35,-23,60,29,12,-32,-34,263,-132
45,-10,-5,22,81,48,-74,-81,-18,263,-82
862,-362,-150,862,659,-274,-794,-461,156,263,-32
-1550,315,431,-2053,-1228,678,-764,159,-296,263,17
-1821,696,1097,-1654,-677,1159,555,-206,-345,263,67
1847,-178,-930,1845,1104,-787,-901,272,-102,263,117
1586,-595,-783,1386,1170,-668,372,635,-15,263,-152
-4860,1771,796,-4516,-2878,1356,473,1237,-614,263,-102
692,-1059,-259,682,880,514,376,-856,-59,263,-52
1673,-551,-577,1819,1204,-628,-590,-167,347,263,-2
-872,94,-58,-955,-219,-276,1023,196,235,263,47
-3126,633,1329,-2996,-1431,1488,-1022,-52,133,263,97
1755,-193,-255,1194,1302,375,1660,374,-206,263,147
1664,-577,-901,1723,1370,-669,-652,92,62,263,-122
-308,32,-559,-543,-104,-358,-50,-21,38,263,-72
-3852,1006,1286,-2903,-1641,1509,-420,-425,-108,263,-22
1961,-349,-159,1464,1534,897,1500,-456,-5,263,27
1732,-553,-537,1595,1331,-510,-946,-112,59,263,77
1635,-809,-675,1332,871,-743,160,-379,69,263,127
-3853,1094,1468,-3033,-2109,1363,171,-50,-87,263,-142
988,55,220,1026,1203,1461,1618,-48,-129,263,-92
1853,-366,-760,1889,1221,-329,-1067,-419,463,263,-42
1658,-795,-957,1322,874,-760,970,84,105,263,7
-3469,1621,1354,-3258,-2001,1026,486,-131,-671,263,57
-795,339,1076,-484,-320,1842,-236,297,-61,263,107
1938,-541,-225,2199,921,998,-483,273,176,263,157
1654,-906,-763,1517,880,-743,-259,-527,-142,263,-113
1277,-381,-649,987,496,-507,-348,694,-263,263,-63
-2640,874,1481,-2220,-1239,1974,-1180,642,31,263,-13
2196,-399,-286,1988,1061,754,2017,564,127,263,36
1526,-574,-900,1638,1290,-538,-1087,-253,115,263,86
1676,-790,-627,1334,887,-553,1068,-140,122,263,136
-2735,1298,1590,-2307,-1770,1816,-18,250,-209,263,-133
-1116,1192,1388,-689,-770,2404,1028,-51,-316,263,-83
1908,-446,-377,1889,1187,284,1330,-152,-245,263,-33
1521,-651,-968,1411,1032,-1317,-562,-74,-8,263,16
1608,-884,-751,1281,868,-609,-896,-16,225,263,66
-4167,2462,1736,-3653,-2444,1921,-285,285,-280,263,116
1575,-100,316,1438,954,2133,1640,-356,-259,263,-153
1684,-538,-885,1876,1188,-275,-1719,-220,216,263,-103
1747,-902,-624,1494,877,-650,197,-351,198,263,-53
-4539,2012,1680,-3928,-2351,1450,-1010,154,-424,263,-3
-1255,559,1327,-898,-142,2476,-398,419,-215,263,46
2091,5,-530,1880,978,508,1187,893,-14,263,96
1411,-755,-951,1548,942,-978,-749,-264,-36,263,146
1647,-753,-837,1151,771,-493,-424,-191,231,263,-124
-4171,1582,1817,-3132,-1751,2098,-273,-271,-206,263,-74
1846,-212,260,1241,1156,1595,2890,-842,-373,263,-24
1739,-414,-615,2144,646,9,-2150,-506,542,263,25
1636,-648,-540,1451,1141,-472,579,-452,341,263,75
-5096,1582,1699,-4765,-2520,1870,-122,-126,-334,263,125
343,256,628,103,990,1641,-139,263,-161,263,-144
1853,-248,-627,2145,1177,638,802,-481,-41,263,-94
1547,-686,-519,1193,1038,-514,-365,-825,58,263,-44
1684,-468,-422,1558,536,-153,-908,347,287,263,5
-2783,1115,1832,-2380,-1114,2361,-316,713,-400,263,55
2117,126,-251,1935,1099,883,1607,208,-167,263,105
1738,-614,-523,1736,1342,-393,-2053,364,240,263,155
1663,-637,-692,1750,780,-274,619,229,-23,263,-114
-3830,1283,1991,-3261,-1820,2564,-730,614,-350,263,-64
2116,95,-34,1875,1493,763,3055,203,-789,263,-14
1692,-363,-620,1614,818,-965,-1862,33,570,263,35
1505,-541,-682,1413,1076,-411,299,233,134,263,85
-2094,1083,1087,-1191,-1347,951,-528,409,-348,263,135
791,295,459,696,1403,1899,549,-855,-493,263,-135
1848,-215,-528,1925,443,-4,-882,-733,279,263,-85
1787,-647,-672,1643,1174,-358,259,-596,-225,263,-35
-179,463,-5,-411,-328,-14,-621,-104,-111,263,14
440,683,496,225,421,2029,-1131,1592,210,263,64
1967,-157,-428,1671,1001,559,1195,547,63,263,114
1654,-742,-671,1530,1215,-762,-1166,-48,74,263,-155
126,-62,-135,-32,261,-1203,404,865,288,263,-105
-4040,1514,1666,-3225,-2939,2836,-1187,-622,-40,263,-55
1675,-268,-396,1433,590,-214,1659,-16,25,263,-5
1644,-713,-859,1261,1217,-1462,-2090,-171,71,263,44
1378,-768,-953,782,1759,-1304,91,-275,62,263,94
-4026,2027,1676,-3198,-3248,2463,-683,-881,-60,263,144
9,826,1319,1437,710,713,697,-424,-128,263,-125
1485,-769,-1448,626,1664,-2119,1160,141,-167,263,-75
1588,-1175,-822,1015,1887,-1202,-888,-68,-25,263,-25
-2147,955,360,-1518,-1562,1189,474,161,-48,263,24
-1917,990,2994,-1456,-913,5499,-127,14,-239,263,74
1177,-1165,-2138,483,2722,-2955,3054,770,97,263,124
1436,-1302,-1223,815,2353,-1144,-2266,373,467,263,-146
403,-60,-32,284,-389,-90,-303,349,532,263,-96
-4209,1110,2659,-3834,-1493,4707,-1011,510,-56,263,-46
1026,-268,901,1569,1067,-857,2384,-279,-391,263,3
1311,-815,-1270,999,1255,-1309,-2023,-87,273,263,53
1534,-825,-1211,1169,1483,-889,27,112,305,263,103
-3617,1901,1255,-3812,-2125,796,-1170,-127,74,263,153
-1029,-646,2089,-1020,113,3062,1360,24,-153,263,-116
1960,-439,-568,1808,745,138,-2035,17,243,263,-66
1799,-593,-730,1453,1063,-456,209,73,-195,263,-16
-3635,1452,1211,-3422,-1845,892,175,707,-256,263,33
-2413,-63,1455,-2014,-654,1635,870,-54,-395,263,83
1937,-1145,-88,1995,1028,-36,-431,238,512,263,133
1615,-874,-349,1339,1201,-383,-355,7,439,263,-136
-2227,650,738,-1752,-825,400,687,-80,170,263,-86
