acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
-1,2,-15,5,5,38,29,-25,-139,263,78
0,28,60,-2,52,-44,-15,118,-64,263,128
2,5,20,5,33,-10,-36,62,-21,263,-141
-6,-9,-11,21,4,53,-34,39,-5,263,-91
0,-3,-1,14,-13,44,0,56,9,263,-41
3,8,20,5,8,4,13,40,-12,263,8
1,-4,20,5,12,9,23,-24,-14,263,58
4,-7,12,5,9,29,21,-36,-14,263,108
11,8,21,5,11,24,13,-17,-13,263,158
17,19,21,2,17,13,7,-6,-14,263,-111
10,6,19,10,12,19,4,5,-9,263,-61
1,1,23,9,4,21,10,8,-13,263,-11
2,0,18,9,5,19,6,3,-9,263,38
0,-2,15,4,7,20,2,-14,-8,263,88
6,3,20,4,4,17,1,-18,-10,263,138
7,9,23,5,12,17,0,-14,-11,263,-132
2,0,12,-1,11,18,-3,-16,-13,263,-82
-8,16,0,19,53,23,-27,61,-4,263,-32
37,34,108,-18,6,-59,-30,218,134,263,17
-16,-78,-49,16,-66,79,-12,-300,22,263,67
14,-65,-42,8,-56,85,15,-214,-31,263,117
21,18,99,-21,-1,-34,51,-33,-54,263,-152
29,61,92,-30,40,-79,30,-8,-56,263,-102
21,30,16,2,41,12,24,-42,-2,263,-52
15,-11,13,1,1,46,-62,10,10,263,-2
6,-9,60,13,-12,28,-13,34,24,263,47
11,-11,48,2,-24,-27,-41,41,16,263,97
16,2,28,12,-30,-30,-32,3,3,263,147
6,12,36,16,-12,16,-21,-50,-1,263,-122
26,-10,36,0,-22,11,-32,-123,1,263,-72
36,8,16,-25,-16,46,99,-95,-81,263,-22
8,27,24,-13,43,-13,-19,64,-137,263,27
7,27,73,-22,15,-50,-64,113,22,263,77
13,-8,14,7,-8,25,-35,74,14,263,127
-14,-36,-7,26,-33,61,-54,32,-9,263,-142
-4,-18,32,16,-32,20,21,18,-18,263,-92
7,1,39,6,-7,-35,9,0,-9,263,-42
2,25,71,-7,18,-49,-27,35,39,263,7
-11,-6,30,23,11,20,-39,-116,-9,263,57
10,-26,10,4,-25,42,24,-154,34,263,107
19,2,42,-8,-9,-17,62,-65,38,263,157
23,24,55,-21,2,-50,52,-11,12,263,-113
15,4,31,-2,-12,3,38,-36,-17,263,-63
19,-16,28,4,-16,22,65,-28,-31,263,-13
10,-16,44,0,-12,-5,94,-7,-51,263,36
14,-7,67,3,-3,-27,107,-8,-45,263,86
9,-24,73,6,-1,-13,90,-35,-12,263,136
20,-41,42,-7,-1,-3,87,-57,-4,263,-133
5,-25,20,-2,7,3,19,-87,-34,263,-83
17,-18,47,0,5,-2,-9,-71,-30,263,-33
17,-10,70,0,11,-8,-37,-72,-19,263,16
13,-8,46,-5,5,-9,-32,-75,-11,263,66
9,-20,49,-11,11,-4,-4,-52,-7,263,116
2,-35,77,-13,19,-7,1,-24,-6,263,-153
11,-43,82,-14,22,-14,35,-10,0,263,-103
7,-37,63,-8,0,-9,18,-2,-3,263,-53
3,-26,38,-12,0,-34,-50,33,-12,263,-3
0,-44,77,-10,1,-8,24,10,-2,263,46
9,-44,114,15,12,-18,-6,18,29,263,96
-14,-65,92,9,8,-20,22,-82,52,263,146
36,-89,135,-6,-37,-4,12,-112,109,263,-124
62,-79,163,-26,-43,8,64,-195,20,263,-74
104,-128,150,-56,-6,-5,24,-295,-139,263,-24
52,-74,147,-49,39,-28,-207,-312,-305,263,25
35,-106,253,-15,54,-52,-244,-156,-222,263,75
27,-220,274,-10,60,-55,-161,-52,-119,263,125
-6,-276,319,-32,57,-25,-85,64,-30,263,-144
17,-457,252,-45,58,-31,-85,151,47,263,-94
-36,-505,234,-43,72,-11,-133,107,45,263,-44
-19,-447,210,-54,74,-44,-166,108,69,263,5
-87,-644,278,-52,76,-53,-197,58,72,263,55
-37,-537,210,-73,54,-47,-271,29,63,263,105
-47,-564,134,-67,57,-8,-161,-139,-47,263,155
-176,-693,20,-65,38,-59,15,-116,-46,263,-114
-209,-791,27,-110,58,-153,70,105,45,263,-64
-213,-748,-41,-89,91,-196,39,314,156,263,-14
