acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
5,-11,29,-6,3,-7,-64,-13,1,263,78
-3,-16,20,-8,2,-6,-36,-33,-17,263,128
1,-25,5,-16,4,-7,-44,-22,-25,263,-141
-3,-18,7,-13,19,-9,-79,2,-24,263,-91
-4,-20,10,-19,11,-16,-90,-6,-28,263,-41
-6,-12,12,-7,6,-10,-83,8,-25,263,8
-7,-17,14,-6,-3,-12,-70,-7,-6,263,58
-7,-20,10,-7,-1,-13,-49,-14,1,263,108
-20,-15,3,-16,1,-5,-29,-10,-3,263,158
-4,-17,7,-21,15,-13,-9,-12,3,263,-111
14,-29,-21,-56,-18,12,18,-12,-44,263,-61
21,0,-66,-148,-41,96,-117,73,-216,263,-11
328,-106,-202,263,222,-129,-328,306,-549,263,38
-369,66,-22,-91,12,155,-947,-15,-420,263,88
108,-4,-311,-8,514,418,-34,-38,-298,263,138
275,-88,-373,194,704,268,-79,326,-208,263,-132
-251,154,-143,-121,578,377,-313,891,157,263,-82
-1005,292,265,-306,-284,669,-276,1007,380,263,-32
-648,-49,524,-683,-589,738,425,157,274,263,17
303,-681,700,-132,-100,-242,-174,-657,573,263,67
890,-812,200,471,193,-439,179,-193,233,263,117
272,-291,227,-151,-90,-358,365,146,-47,263,-152
282,-303,254,-30,-4,-378,66,81,34,263,-102
-22,-338,430,-353,-159,-183,66,56,-300,263,-52
117,-394,599,-118,1,8,-223,-616,264,263,-2
211,-507,592,-187,166,16,-62,179,185,263,47
633,-570,354,200,356,-251,-176,629,160,263,97
476,-713,363,230,304,-400,-161,429,-4,263,147
-767,-237,599,-1501,-816,102,-223,-676,-318,263,-122
-503,528,-119,-399,-191,467,-258,-1059,-436,263,-72
-297,912,-434,406,245,1268,408,848,-894,263,-22
274,507,-362,536,842,744,-845,1322,-199,263,27
105,30,-236,532,351,239,319,773,106,263,77
-58,6,-273,211,111,110,240,-9,400,263,127
-292,25,-127,-174,-100,252,694,-732,552,263,-142
179,-100,-142,-47,93,105,326,-598,515,263,-92
73,-139,-128,-147,8,155,280,-304,8,263,-42
-250,210,-100,-113,38,102,-289,-116,-453,263,7
-42,202,-200,107,178,107,-217,-187,-354,263,57
3,100,-201,104,135,316,6,-313,-315,263,107
218,14,-271,296,363,198,-189,-321,-218,263,157
-54,94,-193,-27,399,318,-232,315,101,263,-113
-257,90,164,-302,228,455,-309,852,41,263,-63
-518,-62,615,-372,-1645,450,-181,650,-114,263,-13
-136,-547,812,-101,118,-244,172,-403,-56,263,36
680,-785,428,158,63,-499,-46,-582,657,263,86
331,-432,-47,-111,-160,-370,424,-170,64,263,136
63,-104,10,-178,-215,-317,405,108,-179,263,-133
-125,-210,333,0,-58,-121,-298,362,-416,263,-83
-97,-384,622,-125,-226,57,-11,-366,-13,263,-33
-22,-459,572,-110,192,53,30,-349,167,263,16
56,-475,323,-73,185,-155,90,-65,-8,263,66
412,-516,238,136,169,-320,249,-33,-74,263,116
442,-574,228,82,39,-498,56,-260,-244,263,-153
-658,108,303,-986,-495,-71,297,-429,17,263,-103
-364,549,-227,27,-464,961,-233,518,23,263,-53
332,485,-332,389,1046,1435,-351,1336,-293,263,-3
151,206,-280,449,442,434,106,455,-94,263,46
-105,53,-312,279,84,29,253,-334,90,263,96
-223,0,-240,-90,-18,174,201,-549,491,263,146
31,-54,53,-29,16,118,264,-495,376,263,-124
91,-97,-44,19,-10,69,-244,-245,148,263,-74
102,56,-149,-89,19,113,-170,354,-175,263,-24
-225,113,-143,-19,43,135,-444,234,-284,263,25
108,85,-309,168,367,338,-174,-117,-328,263,75
155,-39,-290,161,523,450,-187,-334,-449,263,125
-295,98,-123,-214,444,510,-216,-141,-246,263,-144
-638,234,94,-595,67,552,-395,731,-50,263,-94
-545,-19,392,-693,-499,433,197,-357,-262,263,-44
393,-573,544,100,-20,-342,469,-1187,485,263,5
611,-708,386,142,61,-409,747,-495,481,263,55
220,-357,295,-157,-121,-453,289,1,162,263,105
99,-231,176,-266,-26,-367,417,327,-100,263,155
-179,-343,284,-114,-220,99,-41,-286,-220,263,-114
-5,-371,343,-115,143,85,167,-426,114,263,-64
58,-390,430,-35,235,46,-101,-50,290,263,-14
134,-448,364,-43,172,-56,-128,137,201,263,35
300,-469,264,30,99,-201,65,201,214,263,85
180,-531,281,-255,-280,-425,217,-238,-4,263,135
-733,92,451,-1028,-615,-209,119,-710,112,263,-135
-384,262,-104,14,-320,420,-423,-147,84,263,-85
279,325,-276,131,588,782,-929,1203,-89,263,-35
21,176,-243,57,402,615,73,880,-156,263,14
-3,72,-174,162,245,194,-23,528,-38,263,64
-62,38,-47,180,143,102,447,-119,227,263,114
-108,-153,-1,-114,-112,133,109,-565,132,263,-155
70,-116,-191,-30,-52,82,-44,-225,-262,263,-105
-115,103,-198,-24,245,231,-294,206,-328,263,-55
8,118,-199,-28,487,328,-195,81,-219,263,-5
86,39,-104,47,571,349,-61,-241,-310,263,44
90,-7,-98,194,613,345,-77,367,-37,263,94
-896,215,431,-698,-67,448,274,1187,-99,263,144
-393,-170,728,-983,-486,367,-23,499,-269,263,-125
529,-713,764,-22,-194,-322,428,-1137,245,263,-75
855,-807,370,233,42,-443,611,-680,444,263,-25
461,-454,216,-110,-128,-361,169,-102,-72,263,24
-29,-266,596,-343,-165,-108,-129,546,-440,263,74
80,-309,684,-26,-62,59,160,-190,-170,263,124
55,-328,641,-117,137,209,205,-385,125,263,-146
266,-429,434,-22,224,76,-248,-370,257,263,-96
368,-569,338,46,159,-204,-181,-133,-71,263,-46
370,-643,356,6,-28,-293,-138,-6,-214,263,3
-447,-240,696,-810,-503,-61,516,-525,-321,263,53
-770,273,718,-875,-516,-461,520,-284,-76,263,103
-134,-25,-20,84,-509,155,-35,1217,-152,263,153
90,250,-209,260,486,664,-887,973,-44,263,-116
-169,124,-406,408,190,-254,423,-87,-252,263,-66
-131,95,-437,116,385,5,84,-694,80,263,-16
-151,66,-339,-10,77,104,-16,-893,453,263,33
72,25,-164,-146,-35,323,-153,-381,138,263,83
156,-163,194,-3,-47,208,-283,47,-108,263,133
-119,-24,101,-30,-74,255,-333,383,-556,263,-136
-171,140,-166,88,203,212,-397,198,-653,263,-86
-193,221,-286,53,166,178,-184,-206,-394,263,-36
-72,63,-437,-4,543,469,-127,-142,-256,263,13
-44,106,-467,63,687,495,-25,7,8,263,63
-136,66,-348,152,715,276,-376,272,480,263,113
-472,-176,212,-318,309,94,-323,602,1298,263,-157
-246,-433,1196,-992,-567,38,183,-192,786,263,-107
362,-751,722,-242,-357,-149,211,-856,358,263,-57
726,-663,128,352,26,-383,738,-878,-77,263,-7
558,-407,-59,268,14,-383,727,192,-471,263,42
-103,-58,246,-350,-193,-326,275,883,-626,263,92
-34,-305,538,-115,-223,46,-123,-156,-242,263,142
163,-306,598,-133,157,0,190,-690,117,263,-127
335,-455,519,68,288,-8,4,-308,-121,263,-77
470,-508,364,262,354,-194,-157,51,-289,263,-27
66,-343,462,-858,-494,36,107,-358,-318,263,22
-872,513,529,-1045,-662,-59,356,-512,373,263,72
-89,534,-395,191,-568,533,-657,335,53,263,122
396,304,-503,491,884,588,-607,794,-64,263,-147
-124,243,-266,107,351,823,12,208,139,263,-97
80,-11,-228,157,354,71,261,265,443,263,-47
-169,79,31,-167,-54,193,670,67,554,263,2
64,-67,-18,-120,19,95,121,-118,328,263,52
118,-100,-167,13,-30,130,-240,160,-350,263,102
-221,213,-149,-47,-7,253,-393,272,-322,263,152
75,140,-217,127,303,273,-313,308,-25,263,-117
62,23,-200,108,390,375,-66,-145,-56,263,-67
59,5,-314,188,472,306,-9,-236,-29,263,-17
-359,135,-28,-304,100,422,225,1170,-220,263,32
37,-162,705,-532,-120,-36,-222,602,-183,263,82
597,-736,611,373,27,-279,-565,-947,-75,263,132
537,-582,336,-91,-65,-218,836,-713,18,263,-138
376,-300,281,-43,-50,-321,57,131,-141,263,-88
213,-234,353,-82,-33,-240,80,456,-542,263,-38
157,-159,471,-20,-86,-112,136,-448,64,263,11
161,-331,465,-187,-30,51,-14,-378,316,263,61
211,-355,498,-166,222,49,-200,-173,198,263,111
373,-493,413,129,287,-83,-159,-122,140,263,-158
519,-579,309,214,150,-375,-189,-26,-140,263,-108
-785,-75,778,-1233,-846,156,336,-394,-304,263,-58
-311,199,355,-390,-265,-211,-214,-823,27,263,-8
289,112,-299,272,-25,-202,347,974,-193,263,41
144,239,-393,-428,1648,2226,-659,817,-174,263,91
-199,121,-322,165,121,-287,144,589,-294,263,141
-132,6,-334,-71,246,84,-45,371,-79,263,-128
-230,-13,-215,23,271,-51,42,-514,305,263,-78
6,-54,-256,-153,-39,266,-25,-119,-113,263,-28
-83,24,-239,-22,-16,278,-195,109,-304,263,21
-168,237,-284,92,53,64,-290,294,-344,263,71
-92,254,-259,72,121,24,-237,357,-107,263,121
-109,122,-199,83,203,207,95,-286,132,263,-149
25,49,-274,168,162,283,392,-170,63,263,-99
36,-33,283,-247,-31,286,282,-71,-220,263,-49
-161,-22,477,-453,-206,164,207,31,-283,263,0
389,-372,316,224,18,-173,407,-754,402,263,50
479,-347,174,-11,11,-277,411,-179,358,263,100
-14,-34,297,-52,-201,-284,415,468,-132,263,150
4,-4,290,49,-79,-251,134,394,45,263,-119
42,-117,378,-62,-113,26,-104,-36,317,263,-69
28,-262,342,-46,51,71,-346,-391,517,263,-19
254,-330,330,-120,146,96,-355,14,393,263,30
454,-432,282,273,292,-376,-368,195,153,263,80
-508,-192,618,-573,-381,-126,127,-317,-43,263,130
-314,74,492,-894,-402,-426,-133,-961,490,263,-139
214,94,-209,-10,-307,-290,170,512,120,263,-89
374,352,-455,-424,1522,2558,-613,1364,-396,263,-39
-165,184,-208,36,19,188,159,593,-546,263,10
-274,142,-160,145,128,-285,219,14,-42,263,60
-142,54,-35,-155,157,-143,337,-502,55,263,110
83,-307,-126,-41,40,-96,19,-301,-233,263,160
36,-7,-190,14,-6,123,-490,134,-418,263,-110
-236,105,-157,51,166,435,-600,127,-383,263,-60
-168,140,-194,-55,243,289,-109,72,-382,263,-10
-124,154,-277,58,124,73,147,-101,-302,263,39
-69,163,-522,126,402,-46,157,79,266,263,89
-774,77,80,-477,-12,312,-30,768,775,263,139
-224,-513,938,-7,-290,389,175,887,714,263,-130
-209,-769,915,62,-462,-258,-57,-973,566,263,-80
586,-1048,202,184,-256,-580,878,-1160,199,263,-30
347,-294,-200,-110,-180,-320,399,-613,27,263,19
-122,-185,94,-355,-197,-255,-20,73,-299,263,69
-26,-342,292,79,59,-237,-58,4,-806,263,119
-131,-219,637,-16,-152,-41,-237,-470,-245,263,-150
-76,-398,382,-11,94,-16,-185,-576,252,263,-100
76,-373,171,-150,158,-82,-253,-53,430,263,-50
342,-482,135,48,147,-273,-264,142,152,263,0
304,-577,178,-59,59,-389,-240,54,-347,263,49
-861,-105,493,-1047,-627,-61,146,-670,-448,263,99
33,-222,-29,366,43,-404,-205,-703,-349,263,149
146,10,-535,356,-937,177,37,655,-365,263,-121
-26,397,-641,-213,922,1155,164,623,-470,263,-71
-251,114,-355,302,272,-433,179,136,-211,263,-21
-268,72,-188,-140,90,-73,289,-310,441,263,28
7,-203,-124,-280,-45,45,122,-408,313,263,78
164,-223,-326,-89,41,174,-347,-77,-439,263,128
-80,135,-376,-86,47,248,-530,5,-807,263,-141
-347,140,-323,13,206,123,-282,-130,-593,263,-91
-158,111,-312,23,181,3,-113,-11,-259,263,-41
9,15,-327,40,221,65,11,-67,114,263,8
-131,41,-331,4,411,129,-222,467,654,263,58
-408,-222,-40,-341,148,197,-709,1168,1146,263,108
-701,2,596,-756,-793,111,439,1046,524,263,158
204,-812,334,59,-307,-354,395,-332,345,263,-111
465,-744,38,238,0,-602,544,-276,249,263,-61
-35,-338,54,-223,-191,-342,179,25,13,263,-11
-95,-331,10,-309,-163,-273,157,754,-605,263,38
-260,-182,124,-67,-119,-67,324,-127,-290,263,88
-76,-452,251,-102,90,-1,-55,-560,189,263,138
50,-416,255,-132,187,-71,-348,-23,424,263,-132
263,-473,114,82,207,-366,-237,247,185,263,-82
335,-527,146,-353,-207,-526,-248,63,-78,263,-32
-739,-226,504,-922,-580,-100,84,-1087,-319,263,17
-12,-13,31,-100,-62,-355,-347,-685,-247,263,67
198,370,-391,186,-610,160,-143,1121,-344,263,117
-11,405,-577,-389,1292,1236,-212,845,-442,263,-152
-168,120,-391,267,278,-306,-202,350,-330,263,-102
-402,60,-168,-15,246,-54,495,-744,222,263,-52
26,-174,-83,-137,66,-26,231,-409,243,263,-2
217,-233,-232,-230,-5,242,-80,-83,-193,263,47
10,48,-291,-134,-2,41,-319,430,-505,263,97
-225,155,-259,106,79,-38,-268,128,-536,263,147
-181,105,-278,67,96,117,142,-266,-160,263,-122
-101,60,-329,-61,300,181,346,-395,106,263,-72
-49,64,-342,-132,546,188,182,37,401,263,-22
25,33,-331,-172,487,143,-233,551,643,263,27
-518,-226,386,-756,-176,-95,-145,1456,656,263,77
-383,-607,827,-350,-415,-87,299,-400,313,263,127
496,-1063,337,255,-279,-516,516,-892,130,263,-143
344,-549,54,-85,-163,-287,371,-356,-36,263,-93
-243,-224,195,-640,-310,-143,6,132,-202,263,-43
-310,-177,121,15,65,-227,-13,44,-559,263,6
-3,-335,254,-30,51,-159,-185,-735,154,263,56
-51,-542,429,-73,138,-142,-166,-480,223,263,106
145,-562,229,1,95,-230,-24,-102,-93,263,156
270,-461,110,-91,56,-303,-122,-13,-425,263,-113
-641,-99,307,-809,-333,-494,178,-685,-344,263,-63
-446,274,71,-509,-360,-220,-134,-758,-322,263,-13
265,308,-529,1,1242,1953,-325,1046,-151,263,36
-260,204,-472,7,-120,-267,86,178,-230,263,86
-93,50,-307,74,91,-266,304,435,14,263,136
-195,10,-283,-94,127,-155,349,73,305,263,-133
-40,-60,-195,-183,148,-50,70,-217,378,263,-83
61,-154,-278,-47,170,145,-25,-171,-124,263,-33
-228,124,-307,-154,88,152,-461,147,-443,263,16
-242,95,-365,26,184,30,-263,22,-87,263,66
-87,105,-410,-20,320,86,-14,77,105,263,116
-53,128,-416,-61,530,119,-92,367,279,263,-153
-125,-269,-224,38,378,38,-253,577,592,263,-103
-399,-349,280,-477,-781,611,-500,1056,529,263,-53
-532,-612,468,-701,-209,-170,633,-350,78,263,-3
325,-892,186,65,-11,-383,240,-908,5,263,46
335,-490,19,123,93,-640,480,-708,-207,263,96
-391,-157,169,-738,-397,-301,84,696,-927,263,146
-356,-219,-42,88,36,-224,-126,-525,-549,263,-124
-167,-290,81,-318,-273,161,-73,-995,31,263,-74
31,-525,240,-54,318,-58,66,-691,96,263,-24
233,-408,204,96,357,-135,37,-263,-19,263,25
195,-456,114,140,291,-388,-129,-374,-141,263,75
-685,100,118,-855,-1041,-72,424,-1237,58,263,125
-604,298,256,-723,-438,-603,-819,-1238,397,263,-144
411,135,-660,-322,2632,3105,-1056,1490,207,263,-94
-122,267,-490,-169,-211,-156,670,804,-391,263,-44
-217,179,-394,113,149,-365,402,645,-330,263,5
-133,-34,-319,-22,217,62,595,-281,-207,263,55
-317,-75,-165,30,178,102,679,-709,-23,263,105
14,-81,-192,-167,48,248,303,35,-7,263,155
-59,39,-263,-137,17,133,-113,277,-167,263,-114
-89,168,-322,-28,-3,27,-479,71,-604,263,-64
-180,104,-356,103,57,0,-683,-452,-798,263,-14
-102,55,-410,28,157,111,-321,-827,-738,263,35
-96,86,-481,-304,461,192,-261,13,-642,263,85
-159,251,-452,-362,915,262,-404,1059,-25,263,135
-375,213,-100,-433,645,226,-610,2027,710,263,-135
-475,-269,305,-664,-254,185,-864,1650,1072,263,-85
-323,-264,501,-45,-312,-114,133,-967,373,263,-35
321,-614,28,320,27,-502,953,-1196,311,263,14
319,-259,-122,147,36,-543,599,267,631,263,64
-130,-232,-67,-405,-250,-237,544,364,-204,263,114
-192,-343,137,-492,-356,26,84,-342,307,263,-155
60,-538,267,-235,285,-32,18,-973,604,263,-105
81,-572,280,-94,175,-141,-99,-353,193,263,-55
480,-548,168,145,234,-287,-370,242,-247,263,-5
255,-564,234,66,187,-421,-314,-1,-464,263,44
-1361,196,490,-1375,-748,-326,-233,-1029,-148,263,94
