acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
2264,906,-492,2303,-603,-423,147,-28,37,263,78
2908,17,-342,2887,481,-292,158,91,43,263,128
3011,-665,-112,2951,1203,-67,96,106,-8,263,-141
3093,-1672,187,2934,2183,20,82,66,-53,263,-91
3248,-2445,67,2968,2656,-232,-2,127,-43,263,-41
3432,-1429,-397,3196,2240,-215,53,85,-29,263,8
3426,237,-485,3472,-4,-563,90,-51,-32,263,58
3672,686,-694,3683,-288,-902,-51,-98,-30,263,108
3835,-464,-418,3727,724,-499,-15,-116,-14,263,158
3493,-1641,-102,3257,1803,-73,39,-41,-5,263,-111
3285,-2149,-359,3096,2289,-193,-10,-3,10,263,-61
3311,-1261,-357,3166,1743,-186,-25,32,3,263,-11
3483,434,-272,3513,-176,-417,-1,-25,-23,263,38
3809,1447,-250,3858,-1013,-687,-138,30,-36,263,88
2931,-976,-383,3262,557,-657,89,1,-42,263,138
3201,-1325,10,3146,1899,174,-94,57,39,263,-132
2055,-576,-584,1856,998,-290,11,-11,-59,263,-82
929,604,-590,749,-384,-762,-6,-31,-69,263,-32
38,1958,-122,-47,-1852,178,-202,-85,-60,263,17
-118,1279,799,-292,-928,903,-358,-381,43,263,67
-146,591,870,130,-809,1043,-1365,519,254,263,117
256,-63,2052,51,423,1947,-632,90,13,263,-152
-240,545,1147,-255,-256,1394,1502,-338,-151,263,-102
-345,1670,619,-337,-941,1135,288,29,-35,263,-52
436,1734,-181,496,-1494,69,354,41,-58,263,-2
1195,1333,-478,1276,-1375,-120,329,-9,-12,263,47
1967,260,-458,1967,-335,-207,414,-39,61,263,97
2136,-1017,-491,1961,943,-354,450,-157,-6,263,147
2151,-4217,43,1347,4720,-25,54,38,-29,263,-122
2744,-2462,-258,2283,3051,-24,-279,251,-42,263,-72
3149,661,-469,3070,452,-165,60,91,-133,263,-22
3824,2230,-1062,3956,-1555,-1239,-191,-91,-215,263,27
3755,242,-400,3705,145,-525,-103,-10,-79,263,77
2532,-3839,-83,2042,3716,-49,26,-65,-1,263,127
2448,-3466,-77,1765,4218,-95,18,86,78,263,-142
2080,-940,-258,1960,1414,-149,130,91,19,263,-92
990,504,-523,1195,-347,-600,2,98,25,263,-42
277,1388,-659,542,-1383,-178,-555,3,54,263,7
-179,1495,192,31,-1225,561,-633,-164,-28,263,57
-743,1377,403,-506,-1130,849,-342,-195,-103,263,107
-432,1299,614,-163,-1249,878,-1368,707,119,263,157
299,734,3062,329,-486,3401,45,-670,-109,263,-113
-660,2086,1569,-242,-1842,1994,2898,-318,-332,263,-63
-971,2342,923,-645,-1993,1139,-595,75,45,263,-13
-385,1713,107,-116,-1727,412,656,-110,-174,263,36
694,464,-534,838,-374,-433,360,-126,21,263,86
1555,-2222,-343,608,2517,-560,432,25,-80,263,136
1521,-5030,309,181,5156,-195,82,135,-87,263,-133
2082,-2417,-238,1687,2734,-92,-274,124,-10,263,-83
2632,988,-746,3062,244,-337,3,184,41,263,-33
3870,3097,-1349,4201,-2248,-1512,-4,30,-66,263,16
2870,128,-287,2703,458,-316,15,24,-35,263,66
1782,-3647,28,1047,4303,158,239,-50,-30,263,116
1802,-4576,306,1269,4307,249,-196,-5,41,263,-153
1920,-1612,-428,1859,2181,-337,-3,130,37,263,-103
563,873,-716,560,-775,-951,-79,63,-22,263,-53
185,1238,-625,517,-946,-226,-366,-72,-12,263,-3
-458,1604,-151,13,-1331,647,-740,-53,16,263,46
-854,1939,105,-1026,-1138,741,-274,-108,-39,263,96
-200,2081,1600,63,-2274,2363,-2585,433,245,263,146
92,1484,1316,36,-928,1379,1022,-802,-281,263,-124
-672,2162,831,-529,-1620,1533,2923,-193,-133,263,-74
-543,2296,-346,-281,-1993,345,-1345,-158,12,263,-24
344,1582,-722,605,-1479,-186,956,-77,-109,263,25
1173,219,-653,1166,226,-520,201,15,36,263,75
1252,-2335,-449,545,2366,-540,232,94,89,263,125
2077,-5195,-172,794,5726,-64,167,20,72,263,-144
2654,-1739,49,2357,2326,144,-86,19,102,263,-94
2908,2635,-739,3241,-1566,-658,-146,55,-71,263,-44
3503,576,-458,3611,-207,-340,-184,-33,-90,263,5
2062,-2616,-47,1637,2348,-104,8,-7,-26,263,55
2047,-4638,270,1194,5128,249,70,-4,28,263,105
2431,-1998,28,2052,2776,-42,97,72,42,263,155
1219,107,-954,861,79,-1004,-63,63,-20,263,-114
467,1170,-634,469,-1253,-551,-202,-59,-18,263,-64
84,1537,291,-52,-1429,253,-437,-58,22,263,-14
-652,1157,857,-650,-1604,1095,-387,-15,4,263,35
-814,1341,520,-579,-1471,715,-1782,905,37,263,85
-7,967,2746,185,-1032,2177,-1050,-1402,-278,263,135
-935,1986,2062,-804,-1322,2488,3181,690,-169,263,-135
-1178,2243,892,-1019,-1868,905,-218,359,308,263,-85
-411,1717,-382,-29,-1487,-328,1091,-188,-86,263,-35
599,-639,-937,702,380,-1033,175,135,45,263,14
1357,-5500,-793,633,4714,-955,245,-88,-144,263,64
2025,-2975,-90,1414,3869,364,-722,-165,-25,263,114
3075,1568,-617,2518,-1051,-261,-213,739,20,263,-155
4099,2384,-875,3819,-1871,-1499,-568,696,-191,263,-105
2464,-2662,-98,2919,2925,-112,-493,1184,-23,263,-55
2196,-4799,-463,1849,4921,-541,-270,1996,0,263,-5
2733,-1451,-391,2810,2158,-377,-331,1826,-52,263,44
2762,2626,-963,2876,-1402,-2069,-227,888,108,263,94
2964,-957,-73,2709,1752,-640,-288,461,38,263,144
2272,-3402,-1299,1645,3680,-1693,-129,15,77,263,-125
1788,-1403,-581,1669,1831,-138,0,-191,227,263,-75
1014,1146,10,1225,-811,-304,134,-300,222,263,-25
28,1666,436,-356,-1740,163,-114,-626,34,263,24
-487,1648,478,-388,-1414,93,71,-1217,-45,263,74
-237,869,1835,415,-917,2171,-609,-1174,136,263,124
267,700,2299,143,-927,194,-157,-2634,-282,263,-146
-78,905,2144,-236,-1616,1741,1089,-935,-148,263,-96
-653,2298,1258,-746,-2136,493,520,-286,-69,263,-46
130,1842,77,392,-1577,-623,448,-170,27,263,3
490,893,-978,702,-862,-1181,489,-520,106,263,53
924,-4002,-1474,499,3523,-921,327,-404,244,263,103
1943,-4475,-633,1099,5032,-212,279,-156,297,263,153
3107,1816,255,2891,-1620,-405,141,-595,-20,263,-116
3831,835,-264,3788,-1444,-1057,-270,-613,-191,263,-66
2639,-2849,-783,2686,1918,-546,-283,-341,-77,263,-16
2295,-4837,-572,1390,5611,-484,189,54,8,263,33
2594,-2267,-270,2178,1643,-361,171,69,-37,263,83
1310,1,-706,1018,206,-560,164,94,-146,263,133
708,1081,-318,592,-837,-408,-276,-103,-193,263,-136
114,1232,-54,23,-835,515,-928,-162,-234,263,-86
-555,1518,705,-601,-1158,1300,-864,170,-105,263,-36
-419,1261,772,162,-1524,1391,-1382,1088,91,263,13
274,-81,3238,691,-861,2320,-2252,944,56,263,63
-344,557,1404,133,-465,1211,592,-148,112,263,113
-593,1725,1303,91,-1272,1204,628,-1279,64,263,-157
-523,1958,610,266,-1943,823,525,-584,-38,263,-107
394,1143,-76,423,-1614,424,97,-483,15,263,-57
566,5,-665,403,-672,-354,606,-206,-116,263,-7
1823,-4661,-1275,683,3522,-979,667,-137,-43,263,42
2635,-3406,-458,1679,4872,-171,-121,44,-44,263,92
3475,1812,-121,3013,-2042,-1149,481,-119,-235,263,142
3601,-197,-571,3646,126,-668,-72,-108,-167,263,-127
2458,-3748,-738,2349,4103,-203,313,177,-5,263,-77
2268,-4278,-677,2029,4124,-247,89,603,2,263,-27
2348,-1697,-629,2216,1317,-789,71,481,41,263,22
689,510,-851,736,33,-958,-272,388,16,263,72
-34,1412,-301,-34,-1745,-367,-501,75,-123,263,122
-891,1251,225,-462,-1536,565,-682,-267,-136,263,-147
-1340,1329,872,-420,-1478,1234,-854,548,-48,263,-97
611,1612,4822,1474,-2301,5273,-1192,514,77,263,-47
-1081,1946,2041,-874,-1930,2435,1621,-1098,-106,263,2
-1754,2319,1128,-1793,-2479,1531,885,-445,-33,263,52
